sr_no,prayer_date,suhoor_end,fajr_begin,sunrise_begin,zawaal_begin,zuhr_begin,asr_begin,sunset_begin,maghrib_begin,isha_begin,fajr_jamaat,zuhr_jamaat,asr_jamaat,maghrib_jamaat,isha_jamaat,jumu-ah_jamaat,eid_jamaat
76,17-Mar,4:45 AM,4:50 AM,6:23 AM,12:18 PM,12:24 PM,4:25 PM,6:21 PM,6:24 PM,7:42 PM,5:45 AM,1:00 PM,5:00 PM,6:24 PM,8:00 PM,1:00 PM,9:00 AM
77,18-Mar,4:43 AM,4:48 AM,6:20 AM,12:18 PM,12:24 PM,4:26 PM,6:23 PM,6:26 PM,7:43 PM,5:45 AM,1:00 PM,5:00 PM,6:26 PM,8:00 PM,1:00 PM,9:00 AM
78,19-Mar,4:40 AM,4:45 AM,6:18 AM,12:17 PM,12:23 PM,4:28 PM,6:24 PM,6:27 PM,7:45 PM,5:45 AM,1:00 PM,5:00 PM,6:27 PM,8:00 PM,1:00 PM,9:00 AM
79,20-Mar,4:38 AM,4:43 AM,6:16 AM,12:17 PM,12:23 PM,4:29 PM,6:26 PM,6:29 PM,7:46 PM,5:45 AM,1:00 PM,5:00 PM,6:29 PM,8:00 PM,1:00 PM,9:00 AM
80,21-Mar,4:36 AM,4:41 AM,6:14 AM,12:17 PM,12:23 PM,4:30 PM,6:28 PM,6:31 PM,7:47 PM,5:45 AM,1:00 PM,5:00 PM,6:31 PM,8:00 PM,1:00 PM,9:00 AM
81,22-Mar,4:34 AM,4:39 AM,6:11 AM,12:16 PM,12:22 PM,4:32 PM,6:29 PM,6:32 PM,7:49 PM,5:30 AM,1:00 PM,5:00 PM,6:32 PM,8:15 PM,1:00 PM,9:00 AM
82,23-Mar,4:31 AM,4:36 AM,6:09 AM,12:16 PM,12:22 PM,4:33 PM,6:31 PM,6:34 PM,7:50 PM,5:30 AM,1:00 PM,5:00 PM,6:34 PM,8:15 PM,1:00 PM,9:00 AM
83,24-Mar,4:29 AM,4:34 AM,6:07 AM,12:16 PM,12:22 PM,4:34 PM,6:33 PM,6:36 PM,7:52 PM,5:30 AM,1:00 PM,5:00 PM,6:36 PM,8:15 PM,1:00 PM,9:00 AM
84,25-Mar,4:26 AM,4:31 AM,6:04 AM,12:15 PM,12:21 PM,4:36 PM,6:34 PM,6:37 PM,7:53 PM,5:30 AM,1:00 PM,5:00 PM,6:37 PM,8:15 PM,1:00 PM,9:00 AM
85,26-Mar,4:24 AM,4:29 AM,6:02 AM,12:15 PM,12:21 PM,4:37 PM,6:36 PM,6:39 PM,7:55 PM,5:30 AM,1:00 PM,5:00 PM,6:39 PM,8:15 PM,1:00 PM,9:00 AM
86,27-Mar,4:21 AM,4:26 AM,6:00 AM,12:15 PM,12:21 PM,4:38 PM,6:37 PM,6:40 PM,7:56 PM,5:30 AM,1:00 PM,5:00 PM,6:40 PM,8:15 PM,1:00 PM,9:00 AM
87,28-Mar,4:18 AM,4:23 AM,5:58 AM,12:15 PM,12:21 PM,4:39 PM,6:39 PM,6:42 PM,7:58 PM,5:30 AM,1:00 PM,5:00 PM,6:42 PM,8:15 PM,1:00 PM,9:00 AM
88,29-Mar,4:16 AM,4:21 AM,5:55 AM,12:14 PM,12:20 PM,4:41 PM,6:41 PM,6:44 PM,7:59 PM,5:30 AM,1:00 PM,5:00 PM,6:44 PM,8:15 PM,1:00 PM,9:00 AM
89,30-Mar,4:13 AM,4:18 AM,5:53 AM,12:14 PM,12:20 PM,4:42 PM,6:43 PM,6:46 PM,8:01 PM,5:30 AM,1:00 PM,6:15 PM,6:46 PM,8:15 PM,1:00 PM,9:00 AM
90,31-Mar,5:11 AM,5:16 AM,6:51 AM,1:14 PM,1:20 PM,5:43 PM,7:44 PM,7:47 PM,9:02 PM,6:15 AM,1:45 PM,6:15 PM,7:47 PM,9:30 PM,1:45 PM,9:00 AM
91,01-Apr,5:08 AM,5:13 AM,6:49 AM,1:13 PM,1:19 PM,5:44 PM,7:46 PM,7:49 PM,9:03 PM,6:15 AM,1:45 PM,6:15 PM,7:49 PM,9:30 PM,1:45 PM,9:00 AM
92,02-Apr,5:06 AM,5:11 AM,6:46 AM,1:13 PM,1:19 PM,5:45 PM,7:48 PM,7:51 PM,9:05 PM,6:15 AM,1:45 PM,6:15 PM,7:51 PM,9:30 PM,1:45 PM,9:00 AM
93,03-Apr,5:03 AM,5:08 AM,6:44 AM,1:13 PM,1:19 PM,5:45 PM,7:49 PM,7:52 PM,9:06 PM,6:15 AM,1:45 PM,6:15 PM,7:52 PM,9:30 PM,1:45 PM,9:00 AM
94,04-Apr,5:01 AM,5:06 AM,6:42 AM,1:13 PM,1:19 PM,5:46 PM,7:51 PM,7:54 PM,9:08 PM,6:15 AM,1:45 PM,6:15 PM,7:54 PM,9:30 PM,1:45 PM,9:00 AM
95,05-Apr,4:58 AM,5:03 AM,6:40 AM,1:12 PM,1:18 PM,5:49 PM,7:52 PM,7:55 PM,9:09 PM,6:00 AM,1:45 PM,6:30 PM,7:55 PM,9:30 PM,1:45 PM,9:00 AM
96,06-Apr,4:55 AM,5:00 AM,6:37 AM,1:12 PM,1:18 PM,5:50 PM,7:54 PM,7:57 PM,9:11 PM,6:00 AM,1:45 PM,6:30 PM,7:57 PM,9:30 PM,1:45 PM,9:00 AM
97,07-Apr,4:53 AM,4:58 AM,6:35 AM,1:12 PM,1:18 PM,5:51 PM,7:56 PM,7:59 PM,9:12 PM,6:00 AM,1:45 PM,6:30 PM,7:59 PM,9:30 PM,1:45 PM,9:00 AM
98,08-Apr,4:50 AM,4:55 AM,6:33 AM,1:11 PM,1:17 PM,5:52 PM,7:58 PM,8:01 PM,9:13 PM,6:00 AM,1:45 PM,6:30 PM,8:01 PM,9:30 PM,1:45 PM,9:00 AM
99,09-Apr,4:48 AM,4:53 AM,6:31 AM,1:11 PM,1:17 PM,5:54 PM,7:59 PM,8:02 PM,9:15 PM,6:00 AM,1:45 PM,6:30 PM,8:02 PM,9:30 PM,1:45 PM,9:00 AM
100,10-Apr,4:45 AM,4:50 AM,6:28 AM,1:11 PM,1:17 PM,5:55 PM,8:01 PM,8:04 PM,9:16 PM,6:00 AM,1:45 PM,6:30 PM,8:04 PM,9:30 PM,1:45 PM,9:00 AM
